title,title count,genres,primaryGenre,contentRating,size,numberOfSupported,released,version,price,score,reviews,store
LearnEnglish Grammar (US edition),33,,EDUCATION,4+,38000000,6,28/08/2013,3.8,0,4,158,google store
Learners Test Free: AU Driver Knowledge Test (DKT),50,,EDUCATION,4+,8400000,7,11/02/2013,3.7,0,4,160,google store
Learning Ally Link,18,"[""Education"",""Books""]",Education,4+,17523712,4,04/09/2016,1.8.3,0,3.5,147,appStore
Learning Cars Educational Games for Preschool Kids,50,"[""Education"",""Family"",""Games""]",Education,4+,138791936,6,04/08/2017,1.0.2,0,4,1315,appStore
Learning Games 4 Kids Toddlers,30,"[""Education"",""Puzzle"",""Games"",""Family""]",Education,4+,259383296,5,24/01/2016,1.9.0,0,4.5,21651,appStore
Learning Games 4 Toddlers Kids,30,"[""Education"",""Games"",""Puzzle"",""Family""]",Education,4+,247058432,5,26/01/2018,1.4.0,0,4.5,4449,appStore
Learning games for toddlers 2+,30,"[""Education"",""Puzzle"",""Games"",""Family""]",Education,4+,87605248,5,02/03/2016,1.1,0,4.5,9340,appStore
Learning games for toddlers.,28,"[""Education"",""Family"",""Games"",""Trivia""]",Education,4+,91632640,5,11/03/2011,1.2.0,0,4.5,1773,appStore
Learning games kids & Toddlers: Fruits Shape Free,49,"[""Education"",""Games"",""Family""]",Education,4+,29762560,5,16/12/2011,1.6,0,4,368,appStore
Learning Japanese,17,"[""Education"",""Reference""]",Education,4+,30299136,2,21/06/2010,3.1,0,4,1249,appStore
Learning to Write. Calligraphy,30,,EDUCATION,4+,27000000,9,21/12/2013,Profesional,0,3.5,289,google store
Learning Visual Basic 6.0,25,,EDUCATION,4+,4400000,7,06/07/2013,2.2,0,3.5,216,google store
Leaving Cert Points,19,"[""Education"",""Utilities""]",Education,4+,9226240,4,22/08/2010,1.7.2,0,3,8,appStore
LED Resistor Calculator,23,"[""Education"",""Reference""]",Education,4+,20209664,8,21/04/2011,1.0.4,0.99,1,6,appStore
Left vs Right: Brain Games,26,"[""Education"",""Puzzle"",""Games"",""Family""]",Education,4+,148801536,5,25/02/2013,3.3.0,0,4.5,8687,appStore
Letter Quiz Preschool  Alphabet & Letters Learning,50,"[""Education"",""Games"",""Family""]",Education,4+,80454656,6,04/05/2013,1.5,0,4,1584,appStore
Letter Quiz: Alphabet Tracing,29,"[""Education"",""Games"",""Family""]",Education,4+,31845376,5,23/09/2009,2.4.2,1.99,4,492,appStore
LetterSchool - Learn to Write!,30,"[""Education"",""Word"",""Games"",""Family""]",Education,4+,109010944,4,04/12/2011,2.0.0,0,4.5,7256,appStore
LeVar Burton Kids Skybrary,26,"[""Education"",""Books""]",Education,4+,306003968,4,19/06/2012,2.3.5,0,4,3603,appStore
Levin College of Law - University of Florida,44,,EDUCATION,4+,28000000,7,16/04/2018,3,0,5,0,google store
libMQ,5,,EDUCATION,4+,7000000,6,13/02/2018,7.0.0,0,3,3,google store
Linear Optimization LITE,24,,EDUCATION,4+,194000,9,02/06/2012,1.4,0,4,75,google store
Ling: learn Spanish or English,30,"[""Education""]",Education,4+,70344704,4,12/04/2017,1.7,0,4.5,1765,appStore
LingoDeer - Learn Languages,27,"[""Education"",""Reference""]",Education,4+,145717248,4,26/09/2017,2.0.16,0,5,8528,appStore
Lingokids - English For Kids,28,"[""Education"",""Entertainment""]",Education,4+,167220224,4,11/09/2015,5.21.2,0,5,2452,appStore
