title,title count,genres,primaryGenre,contentRating,size,numberOfSupported,released,version,price,score,reviews,store
NCLEX-RN Quiz 5000 Questions,28,,EDUCATION,17+,6700000,7,25/05/2015,6.1,0,4,34,google store
NCSA Athletic Recruiting,24,"[""Education"",""Sports""]",Education,4+,13511680,4,28/07/2013,3.0.5,0,3,253,appStore
NCSU MicroExplorer 3D,21,"[""Education"",""Utilities""]",Education,4+,144325632,7,10/05/2012,2,0,3,7,appStore
ND APP,6,,EDUCATION,9+,2300000,7,15/09/2017,1,0,5,18,google store
ND Mobile,9,,EDUCATION,4+,5200000,6,10/04/2014,1.9,0,4.5,10,google store
Nearpod,7,"[""Education"",""Productivity""]",Education,4+,110923776,4,10/05/2012,11.6,0,4,1238,appStore
NEET & MH CET TEST SERIES 2019,30,,EDUCATION,4+,4100000,7,22/06/2017,1.4,0,2.5,2,google store
NEET-PG MCQ BANK PREMIUM,24,,EDUCATION,4+,272000,9,23/06/2017,17062208,0,4,13,google store
Nelnet,6,"[""Education"",""Finance""]",Education,4+,12528640,5,05/08/2015,1.3.3,0,1.5,509,appStore
NeuroNation - Brain Training & Brain Games,42,Brain Games,EDUCATION,4+,64000000,7,07/08/2014,3.0.40,0,4.5,78489,google store
Nevada Driver License Test,26,,EDUCATION,4+,470000,10,27/07/2015,2,0,4.5,13,google store
Nevada Real Estate Exam Prep,28,,EDUCATION,4+,751000,10,25/02/2015,1.4,8.99,5,1,google store
New Hindi Poems - kavita,24,,EDUCATION,4+,3900000,7,02/03/2018,1.1,0,4.5,31,google store
New Jersey DMV Permit Test,26,,EDUCATION,4+,7600000,5,27/03/2015,6.0.4,0,4.5,48,google store
New Jersey DMV Test Prep,24,"[""Education"",""Reference""]",Education,12+,36550656,5,06/06/2009,4.7,2.99,3.5,76,appStore
New Mexico Wildflowers,22,,EDUCATION,4+,85000000,7,07/11/2015,4.5,0,4.5,3,google store
Newark Public Schools NJ,24,,EDUCATION,4+,26000000,7,03/01/2018,5.2.000,0,4,4,google store
Newsela Student,15,"[""Education"",""News""]",Education,4+,26272768,2,19/01/2016,2.1.0,0,4.5,11400,appStore
Next - Numbers,14,"[""Education"",""Puzzle"",""Games""]",Education,4+,22384640,8,16/12/2013,1.0.3,1.99,4,948,appStore
"NK Online Test- SSC, Banking, RRB (Railways) & ITI",50,,EDUCATION,4+,4800000,7,22/03/2018,1.0.3,0,4,22,google store
NMAAHC Mobile Stories,21,"[""Education"",""Reference""]",Education,4+,326031360,4,22/09/2016,2.1.0,0,3.5,38,appStore
NN Akademi_v2,13,,EDUCATION,4+,12000000,7,02/11/2017,1,0,5,0,google store
NN provider,11,,EDUCATION,4+,208000,10,20/02/2013,1,0,4.5,1,google store
NoodleTools Companion,21,"[""Education"",""Reference""]",Education,4+,13135872,5,18/04/2014,1.0.5,0,2,156,appStore
Northwestern,12,"[""Education""]",Education,4+,6047744,5,30/12/2009,7.0.8,0,3.5,221,appStore
Norweski Trening od podstaw,27,,EDUCATION,4+,2100000,9,24/06/2013,1.2.5,2.49,4,9,google store
Notebook Master for Jupyter,27,"[""Education"",""Productivity""]",Education,4+,46750720,4,23/12/2017,1.7,0,3.5,46,appStore
NoteBrainer,11,"[""Education"",""Music""]",Education,4+,57097216,3,08/04/2009,3.3,0,3.5,467,appStore
Notecards,9,"[""Education"",""Productivity""]",Education,4+,28863488,3,09/02/2009,3.6.0,0,4,848,appStore
Notes - Sight Reading Trainer,29,"[""Education"",""Music""]",Education,4+,37203968,3,08/05/2014,3.9,0,5,722,appStore
Notes from the Universe,23,"[""Education""]",Education,4+,14040064,5,19/04/2016,2.4.1,0,5,2123,appStore
Notes Teacher,13,"[""Education"",""Music""]",Education,4+,72267776,3,05/09/2016,2.5.0,0,5,1017,appStore
Nova Now,8,"[""Education""]",Education,4+,21022720,4,23/02/2010,6,0,3.5,33,appStore
NP Complete Library,19,,EDUCATION,4+,3500000,7,03/01/2018,1,0,5,2,google store
NSCA CSCS Pocket Prep,21,"[""Education"",""Health & Fitness""]",Education,12+,49074176,2,04/04/2013,6.7,0,5,1471,appStore
NSF Science Zone,16,"[""Education"",""Photo & Video""]",Education,4+,58307584,2,08/06/2011,2.0.1,0,4,858,appStore
NT Languages,12,,EDUCATION,4+,16000000,9,29/01/2016,15,0,4,0,google store
NU Beter Duits,14,,EDUCATION,4+,26000000,7,16/12/2016,2.0.5,0,4,4,google store
NU Beter Engels,15,,EDUCATION,4+,26000000,7,10/06/2016,2.0.5,0,4,10,google store
NU Beter Frans,14,,EDUCATION,4+,26000000,7,16/12/2016,2.0.5,0,3,5,google store
Number Quiz by Tantrum Apps,27,"[""Education"",""Games"",""Family""]",Education,4+,34497536,5,20/11/2009,2.4.3,1.99,3.5,68,appStore
Numbers from Dave and Ava,25,"[""Education"",""Entertainment""]",Education,4+,246403072,3,29/03/2018,1.0.1,0,4,688,appStore
Numbers Toddler Preschool,25,"[""Education"",""Games"",""Family""]",Education,4+,25923584,9,26/01/2009,5.2.1,0.99,3.5,357,appStore
Nursery Rhymes From BaBaBear | Music And Animation For Babies With Lyrics,73,"[""Education"",""Music""]",Education,4+,18124800,8,19/03/2014,2.1,0,5,886,appStore
Nursery Rhymes Song Collection,30,"[""Education"",""Games"",""Music"",""Family""]",Education,4+,74588160,4,28/06/2012,2.9,0,4,618,appStore
Nursing Anatomy and Physiology,30,"[""Education"",""Medical""]",Education,12+,15298560,4,11/10/2017,2.0.1,0,3.5,11,appStore
Nursing NCLEX-RN reviewer,25,,EDUCATION,4+,3000000,7,06/04/2013,2.8,0,4,239,google store
Nuryl - Baby Brain Training,27,"[""Education"",""Music""]",Education,17+,35814400,5,13/03/2016,2.5.8,0,3.5,83,appStore
Nutrislice,10,"[""Education"",""Health & Fitness""]",Education,4+,4711424,5,11/10/2012,5.5,0,3,235,appStore
NY DMV Permit Practice Exams,28,,EDUCATION,4+,7700000,7,19/08/2014,1.06,0,3.5,4,google store
O-Ferhenga Kurdî-Kurdî (Hevwateyî),37,,EDUCATION,4+,5700000,7,18/03/2018,1.1,0,4,5,google store
OB Express 2.0,14,,EDUCATION,4+,1700000,7,03/05/2017,2.0.1,0,4.5,1,google store
OC,2,"[""Education""]",Education,4+,21244928,4,09/03/2009,3.5,0,3.5,130,appStore
Occupational Therapy Flashcards 2018 Ed,39,,EDUCATION,4+,3600000,7,07/08/2018,1,0,1,1,google store
OCPS,4,"[""Education""]",Education,4+,80581632,6,15/08/2017,6.8.1,0,3,39,appStore
Octopus Watch by Joy,20,"[""Education"",""Utilities""]",Education,4+,50355200,4,01/06/2017,2.2.398,0,3,49,appStore
Odrabiamy.pl,12,,EDUCATION,4+,4100000,7,09/09/2014,1.7.15,0,4,4924,google store
Official Life in the UK Test,28,,EDUCATION,4+,23000000,7,17/01/2017,1.0.0,4.49,3.5,40,google store
Old Maps Online,15,"[""Education"",""Travel""]",Education,4+,15343616,5,20/07/2015,1.1.4,0,3,30,appStore
OnCourse Lesson Planner,23,"[""Education""]",Education,4+,32882688,5,01/12/2015,2.2.22,0,3,5,appStore
One BU,6,,EDUCATION,4+,3400000,7,05/04/2016,4.1.1,0,5,2,google store
OnlinePianist: Piano Tutorial,29,"[""Education"",""Music""]",Education,4+,95841280,4,11/08/2013,1.96.6,0,4.5,3871,appStore
Open GL Project With Source Code,32,,EDUCATION,17+,3600000,7,17/01/2018,1.1,0,4,5,google store
Organic Chemistry Essentials,28,"[""Education"",""Reference""]",Education,4+,58109952,7,17/09/2010,1.6.0,0,3.5,162,appStore
"OSR Star Finder - Stars, Constellations & More",46,,EDUCATION,4+,50000000,7,18/12/2017,1.0.7,0,4,70,google store
OU Alumni Association,21,,EDUCATION,4+,7900000,7,17/10/2014,2.0.30,0,5,1,google store
OU Libraries NavApp,19,,EDUCATION,4+,5400000,7,27/07/2015,1.0.1,0,4.5,1,google store
OU MySail,9,,EDUCATION,4+,1900000,7,20/09/2012,4.0.0,0,3.5,46,google store
OU Papers & Syllabus,20,,EDUCATION,4+,2600000,7,18/08/2017,1.8.8,0,4.5,195,google store
OVER 91% FAIL THIS GAME,23,"[""Education"",""Music"",""Simulation"",""Games""]",Education,4+,144785408,5,08/02/2017,1.9,0,3,119,appStore
OYEZ,4,"[""Education"",""Reference""]",Education,4+,41196544,3,17/02/2010,4.6,0,3.5,327,appStore
P House - Alphabet,18,Education,EDUCATION,4+,57000000,7,02/10/2017,1.0.1,0,4.5,31,google store
PA Driver’s Practice Test,27,"[""Education""]",Education,4+,40514560,7,16/10/2014,3.5.1,0,5,297,appStore
"Paint Kid - Drawing Desk For Children Learn Draw, Paint, Doodle, Sketch",71,"[""Education"",""Photo & Video""]",Education,4+,7651328,6,22/05/2015,1,0,5,348,appStore
Paint My Wings,14,"[""Education"",""Entertainment""]",Education,4+,14074994,9,26/05/2011,1.1.2,3.99,4,567,appStore
Paint Sparkles Draw,19,"[""Education"",""Games"",""Family"",""Simulation""]",Education,4+,132059136,4,09/05/2011,8.9,0,4,11009,appStore
Paint Windows : Paintbrush rainbow,34,"[""Education"",""Photo & Video""]",Education,4+,7331840,6,19/06/2015,1.1,0,5,435,appStore
Panda's Carnival,16,"[""Education"",""Family"",""Games"",""Role Playing""]",Education,4+,226530304,6,27/09/2016,9.21.1000,0,3.5,68,appStore
ParentVUE,9,"[""Education""]",Education,4+,51386368,4,30/12/2010,6,0,2.5,276,appStore
"PathSource Career, Job, School & College Search",47,"[""Education"",""Business""]",Education,4+,123917312,4,15/01/2015,3.1.3,0,5,5631,appStore
pb&jTV Family,13,"[""Education"",""Photo & Video""]",Education,4+,158920704,3,03/02/2017,1.0.12,0,2.5,20,appStore
PBS KIDS Games,14,"[""Education"",""Arcade"",""Games"",""Family""]",Education,4+,59738112,4,27/04/2016,1.18.0,0,3.5,925,appStore
Peak - Brain Training,21,"[""Education"",""Health & Fitness""]",Education,4+,431889408,3,01/09/2014,4.3,0,4.5,109511,appStore
Pearson eText,13,"[""Education"",""Books""]",Education,4+,289788928,4,04/09/2015,3.6.453,0,4.5,4893,appStore
Peekaboo Barn,13,"[""Education"",""Games"",""Family""]",Education,4+,50155520,8,23/12/2008,5.1.0,1.99,4,3429,appStore
Periodic Table 2019. Chemistry in your pocket.,46,,EDUCATION,4+,9500000,7,25/04/2011,6.3.0,0,4.5,14452,google store
Permit Test Massachusetts MA RMV  Driver's test Ed,50,,EDUCATION,4+,16000000,7,19/06/2015,2.9.0,0,4.5,95,google store
Permit Test New Jersey NJ DMV  Driver License test,50,,EDUCATION,4+,15000000,6,17/06/2015,2.9.15,0,4.5,90,google store
Permit Test North Carolina NC DMV Driver's Test Ed,50,,EDUCATION,4+,13000000,7,19/06/2015,2.9.0,0,4.5,46,google store
Permit Test Tennessee TN DOS Driver's License Test,50,,EDUCATION,4+,17000000,7,08/10/2015,2.9.0,0,4.5,32,google store
Petting Zoo by C. Niemann,25,"[""Education"",""Books""]",Education,4+,55930880,4,20/02/2013,1.9,3.99,4.5,3258,appStore
PG-DIAMS,8,,EDUCATION,4+,24000000,7,14/03/2018,1.00097,0,3,25,google store
pH-man v. 1.0,13,,EDUCATION,4+,2600000,7,03/07/2018,1.9,0,3,1,google store
Pharmacy Quality Assurance,26,,EDUCATION,4+,4900000,7,01/06/2017,2.0.1,0,4.5,1,google store
Phone for Play - Creative Fun,29,"[""Education"",""Games"",""Role Playing"",""Family""]",Education,4+,144117760,4,16/06/2011,7.4,0,4,10859,appStore
Photo solver of math problems,29,"[""Education"",""Entertainment""]",Education,4+,90846208,4,06/03/2016,3.12,0,4,659,appStore
Photomath,9,"[""Education"",""Productivity""]",Education,4+,44765184,3,17/10/2014,5.1.1,0,5,120325,appStore
PhotoStudy - Live Study Help,28,"[""Education"",""Productivity""]",Education,9+,73237504,4,22/01/2014,4.2.7,0,4.5,5739,appStore
PI VR Animals,13,"[""Education"",""Games""]",Education,4+,215434240,5,13/09/2017,1,0,3.5,10,appStore
PI VR Oceans,12,"[""Education"",""Games""]",Education,4+,156008448,5,30/08/2017,1,0,3.5,9,appStore
PI VR Space,11,"[""Education"",""Games""]",Education,4+,126014464,5,13/09/2017,1,0,3.5,20,appStore
Piano Dust Buster by JoyTunes,29,"[""Education"",""Games"",""Music""]",Education,4+,106717184,6,28/03/2012,3.0.2,0,4.5,2600,appStore
Picmonic: Medicine & Nursing,28,"[""Education"",""Medical""]",Education,17+,129252352,3,10/06/2016,4.4.6,0,5,5471,appStore
Pinkfong 123 Numbers,20,"[""Education"",""Family"",""Games""]",Education,4+,64145408,5,30/03/2016,14,0,3.5,54,appStore
Pinkfong Songs & Stories,24,"[""Education"",""Entertainment""]",Education,4+,75484160,5,23/11/2011,38.3.2,0,4,3978,appStore
Piping Engineering QA,21,,EDUCATION,4+,6300000,7,25/02/2017,1.6,0,4.5,4,google store
Pitt PS Mobile,14,,EDUCATION,4+,3800000,7,17/07/2015,1.1.6,0,4.5,2,google store
PlantSnap Plant Identification,30,"[""Education"",""Lifestyle""]",Education,4+,165184512,3,07/06/2017,2.01.7,2.99,4.5,21510,appStore
PlayKids - Learn Through Play,29,"[""Education"",""Entertainment""]",Education,4+,560333824,4,10/04/2013,4.12.6,0,4,4338,appStore
Polish by Nemo,14,"[""Education"",""Travel""]",Education,4+,52042752,4,09/07/2013,5.8.0,0,5,644,appStore
Poll Everywhere,15,"[""Education"",""Business""]",Education,4+,9730048,4,06/08/2014,1.28.7,0,5,1349,appStore
PR Pattani 2,12,,EDUCATION,4+,7800000,7,16/08/2017,1.0.0,0,5,0,google store
Praxis II EE-CK Early Education Exam Prep,41,"[""Education""]",Education,4+,6883328,7,28/08/2012,1.4,4.99,3,9,appStore
Preschool & Kindergarten Games,30,"[""Education"",""Games"",""Family""]",Education,4+,44680192,5,26/03/2012,4.8,0,4.5,15205,appStore
Preschool games for toddler 2+,30,"[""Education"",""Family"",""Games"",""Puzzle""]",Education,4+,84373504,5,09/12/2016,1.77,0,4.5,3982,appStore
Prince William County Schools,29,,EDUCATION,4+,24000000,7,14/06/2016,6.9.0,0,3.5,44,google store
Prodigy Math Game,17,"[""Education"",""Games"",""Role Playing""]",Education,9+,10760192,4,09/10/2015,2.3.1,0,4.5,28477,appStore
Professor Maxwell’s 4D Lab,28,"[""Education""]",Education,4+,301247488,4,13/12/2017,1.0.9,0,3.5,7,appStore
Programming Hub: Learn to code,30,"[""Education"",""Productivity""]",Education,4+,137163776,3,13/11/2015,3.1.2,0,3.5,140,appStore
Proloquo2Go,11,"[""Education"",""Medical""]",Education,4+,927839232,2,21/04/2009,6.0.1,249.99,4.5,3689,appStore
PROmote - Army Study Guide,26,"[""Education"",""Reference""]",Education,4+,75310080,3,07/05/2011,4.07,5.99,4.5,3216,appStore
Property & Casualty Agent Exam,30,"[""Education"",""Reference""]",Education,4+,3082240,5,11/10/2016,2.3,3.99,3.5,9,appStore
PTCE Pharmacy Quality Assurance Flashcard 2018,46,,EDUCATION,4+,4800000,7,15/10/2016,7.6.2,0,5,0,google store
PupilPath,9,"[""Education"",""Productivity""]",Education,4+,38802432,4,23/09/2013,2.2.3,0,4.5,1772,appStore
Puzzingo Toddler Kids Puzzles,29,"[""Education"",""Games"",""Puzzle""]",Education,4+,66281472,5,05/07/2011,7.35,0,4.5,4808,appStore
Puzzle Shapes: Toddlers & Kids,30,"[""Education"",""Family"",""Puzzle"",""Games""]",Education,4+,112185344,4,08/12/2017,2.1,0,4,2020,appStore
Py - Learn to Code,18,"[""Education""]",Education,4+,108730368,2,09/05/2016,6.3.1,0,5,3973,appStore
Q8 DvD,6,"[""Education"",""Photo & Video""]",Education,4+,9544704,5,12/07/2014,3.5,9.99,4,1353,appStore
Q8DVD Play,10,"[""Education""]",Education,4+,47004672,4,08/09/2016,0.9.6,0,3,79,appStore
QA Ninja,8,,EDUCATION,4+,2200000,4,09/09/2017,1,0,5,4,google store
QA Tutorials,12,,EDUCATION,4+,6000000,7,06/09/2018,1,0,5,0,google store
Qari.bn,7,,EDUCATION,4+,86000000,6,21/11/2017,1.0.1,0,5,7,google store
QC BestTest,11,,EDUCATION,4+,542000,11,26/06/2013,1.1,0,4,0,google store
QC Labs,7,,EDUCATION,4+,5600000,7,12/07/2016,2.2,0,4.5,41,google store
QC SPC Chart Free Version,25,,EDUCATION,4+,25000000,7,05/06/2018,August 2018-4,0,5,0,google store
QE Royals,9,,EDUCATION,4+,23000000,7,21/08/2016,3.3.1,0,4,3,google store
QI Fly - Inglês Sem Limites,28,,EDUCATION,4+,16000000,5,11/09/2017,5.0.8,0,4,46,google store
"QQ Piano - Cute Animals Sheet Music, Kids Can Follow To Play - Free",67,"[""Education"",""Music""]",Education,4+,7991296,9,12/05/2011,1.8,0,3,123,appStore
QS Junior,9,,EDUCATION,4+,21000000,6,28/09/2018,1,0,5,19,google store
QST,3,"[""Education"",""Lifestyle""]",Education,4+,59448320,4,23/10/2012,4,0,2,403,appStore
Quick Artic,11,"[""Education"",""Medical""]",Education,4+,68081664,8,10/08/2011,2,0,3,27,appStore
Quick GPA Calculator,20,"[""Education"",""Reference""]",Education,4+,14373888,6,10/11/2015,1.04,0,3,28,appStore
Quick Graph,11,"[""Education"",""Utilities""]",Education,4+,6482944,5,06/10/2008,2.8.1,0,4,10785,appStore
QuickGrader,11,"[""Education"",""Utilities""]",Education,4+,8120320,4,29/09/2010,3.4,0,5,1643,appStore
Quilting Tutorials by MSQC,26,"[""Education"",""Reference""]",Education,4+,38512640,4,19/05/2012,4.1.5,0,5,13968,appStore
Quine McCluskey,15,,EDUCATION,4+,1800000,7,02/07/2015,7,0,4.5,10,google store
Quizlet,7,"[""Education"",""Games"",""Word""]",Education,4+,127340544,3,09/08/2012,4.8,0,4.5,40562,appStore
Quizzing Toddler Preschool,26,"[""Education"",""Family"",""Games""]",Education,4+,62062592,9,26/01/2009,5.2.1,1.99,3.5,2035,appStore
R For Beginners,15,,EDUCATION,4+,2300000,7,16/11/2018,1,0,5,2,google store
R Programming Language,22,,EDUCATION,4+,2900000,7,21/12/2017,1.1,0,4,30,google store
R.G and S.B Patel (Parents),27,,EDUCATION,4+,4200000,7,15/02/2017,1.1,0,4,5,google store
R.P. School,11,,EDUCATION,4+,14000000,6,08/04/2017,2.6,0,4,88,google store
RaiseMe - College scholarships,30,"[""Education"",""Finance""]",Education,4+,82455552,3,14/08/2017,1.13.1,0,5,7166,appStore
Random Name  Selector Starter,29,"[""Education"",""Utilities""]",Education,4+,73588736,5,28/06/2017,1.1,0,3,27,appStore
Raspberry Pi PRO,16,,EDUCATION,4+,11000000,6,20/04/2018,3,0.99,5,0,google store
Rate My Professors,18,"[""Education"",""Utilities""]",Education,12+,58956800,4,06/01/2010,2.3,0,4,7267,appStore
Read Aloud,10,"[""Education"",""Utilities""]",Education,4+,13996032,4,12/09/2017,1.1,9.99,2.5,10,appStore
Ready Jet Go! Space Explorer,28,"[""Education"",""Adventure"",""Games""]",Education,4+,572466176,5,07/04/2016,1.3,0,3.5,47,appStore
Real Estate Exam For Dummies,28,"[""Education"",""Reference""]",Education,4+,117160960,3,26/05/2016,6.6.4564,0,4.5,2164,appStore
Real Estate Exam Prep & Review,30,"[""Education"",""Reference""]",Education,4+,122528768,3,22/08/2014,6.6.4564,0,4.5,2452,appStore
Recycle Coach,13,"[""Education"",""Utilities""]",Education,4+,18207744,5,22/01/2016,7.2.2,0,2.5,38,appStore
RecycleFW,9,,EDUCATION,4+,6000000,9,20/09/2016,1.3,0,2.5,15,google store
RefNet Christian Radio,22,"[""Education"",""Lifestyle""]",Education,4+,57778176,5,29/06/2012,2.7.5,0,5,1678,appStore
Relias Learning,15,"[""Education""]",Education,4+,23621632,5,22/06/2016,1.4.5,0,2,65,appStore
Remind: School Communication,28,"[""Education"",""Social Networking""]",Education,4+,120095744,4,03/05/2012,9.15,0,5,203149,appStore
RenWeb Home,11,"[""Education""]",Education,4+,5203968,5,11/07/2012,2.15.2,0,2,1109,appStore
REVEL by Pearson,16,"[""Education"",""Books""]",Education,12+,277650432,4,29/07/2016,4.1.126,0,5,3368,appStore
RG Academy,10,,EDUCATION,4+,12000000,10,03/02/2017,1.6.18,0,4,47,google store
Rheumatoid Arthritis (RA),25,,EDUCATION,4+,36000000,6,02/11/2018,NaN,0,1,1,google store
"RIDERS – BMX, Skateboard, and Scooter tricks",46,"[""Education"",""Social Networking""]",Education,4+,74047488,5,03/11/2011,5.8,0,5,1439,appStore
RightNow Media,14,"[""Education"",""Entertainment""]",Education,4+,37385216,4,24/10/2014,2.3.1,0,4,967,appStore
RMate,5,"[""Education""]",Education,4+,41932800,3,03/08/2018,1.4.4,0,3.5,14,appStore
Rosetta Stone: Learn Languages,30,"[""Education"",""Travel""]",Education,4+,272429056,2,02/06/2011,5.9.0,0,4.5,85294,appStore
Rosetta Stone: Learn to Speak & Read New Languages,50,Education,EDUCATION,4+,75000000,5,27/03/2013,5.7.0,0,4.5,67889,google store
Rosh Review | Exam Prep Qbank,29,"[""Education"",""Medical""]",Education,17+,38373376,5,11/12/2015,2.4.1,0,5,2566,appStore
Run R Script - Online Statistical Data Analysis,47,,EDUCATION,4+,6200000,9,04/03/2018,1.1 Build 226,0,3,10,google store
Russian Alphabet,16,"[""Education"",""Trivia"",""Games"",""Family""]",Education,4+,62920704,3,30/09/2010,3.3,0,4,1024,appStore
RW System Paths Permissions,27,,EDUCATION,4+,2500000,7,20/02/2018,1,0,2,2,google store
SAFE Alternatives,17,"[""Education"",""Health & Fitness""]",Education,4+,23130112,9,15/11/2012,1.09,0,3,7,appStore
Safe2Tell Wyoming,17,,EDUCATION,4+,5300000,7,25/06/2016,2.9.5,0,4,4,google store
SafeVoice Nevada,16,,EDUCATION,4+,5200000,7,03/12/2017,2.9.5,0,4,10,google store
Safeway Minnesota Driving Log,29,,EDUCATION,4+,7800000,7,20/10/2014,1.6.3,0,3,15,google store
Sago Mini World,15,"[""Education"",""Entertainment""]",Education,4+,794304512,4,07/08/2014,3.3,0,4.5,2758,appStore
Samsung U,9,,EDUCATION,4+,32000000,7,09/04/2018,1.09,0,3.5,44,google store
SAS Livros Digitais,19,"[""Education"",""Books""]",Education,4+,126664704,5,15/12/2015,1.6.3,0,2.5,7,appStore
SAT Prep by Ready4,18,"[""Education""]",Education,4+,163544064,4,25/05/2015,9.4.6,0,4.5,4920,appStore
SAT Up - New SAT Test Prep and Tutoring,39,"[""Education"",""Reference""]",Education,4+,39429120,5,18/12/2012,3.2.0,0,4.5,10474,appStore
"SAT: Practice,Prep,Flashcards",29,"[""Education"",""Reference""]",Education,4+,35956736,4,28/10/2014,1.6.6,0,5,424,appStore
SAWBO TB Prevention,19,,EDUCATION,4+,13000000,9,11/08/2015,2,0,5,1,google store
Scholly,7,"[""Education"",""Finance""]",Education,4+,50670592,5,16/11/2015,1.11.4,0,4.5,3579,appStore
School Countdown - A Smart Class Timetable for Teacher and Student,66,"[""Education"",""Reference""]",Education,4+,4329472,6,25/03/2010,3.7.2,0,3.5,793,appStore
School Countdown Full - A Smart Class Timetable for Teacher and Student,71,"[""Education"",""Reference""]",Education,4+,2002944,6,18/05/2010,3.7.2,1.99,3,20,appStore
School ID Cards and Photos,26,"[""Education"",""Business""]",Education,4+,17197056,2,31/08/2011,3.5.0,0,3.5,18,appStore
SchoolCafé,11,"[""Education"",""Productivity""]",Education,4+,48425984,4,30/07/2016,4.9,0,5,6874,appStore
SchoolMessenger,15,,EDUCATION,4+,11000000,5,28/05/2015,1.9.6,0,2,312,google store
Schoology,9,"[""Education"",""Social Networking""]",Education,4+,131289088,3,29/12/2010,6.1.0,0,2.5,4355,appStore
SchoolSpeak,11,"[""Education"",""Productivity""]",Education,4+,52356096,4,04/01/2017,1.8.4,0,4.5,6623,appStore
Second Grade Learning Games,27,"[""Education"",""Games"",""Family""]",Education,4+,51815424,5,13/02/2013,3.3,3.99,4.5,2352,appStore
Security+ SY0-501 Exam Objectives,33,,EDUCATION,4+,1000000,7,11/04/2018,1.0.0,0,5,2,google store
Seesaw Parent and Family,24,"[""Education"",""Productivity""]",Education,4+,138580992,4,10/11/2014,6.1.1,0,5,4102,appStore
Seesaw: The Learning Journal,28,"[""Education"",""Photo & Video""]",Education,4+,149550080,4,10/11/2014,6.1.1,0,5,27101,appStore
Shabad Guru Nanak Dev Ji,24,,EDUCATION,4+,3600000,7,09/08/2018,1,0,5,2,google store
Shape games for kids toddlers,29,"[""Education"",""Games"",""Puzzle""]",Education,4+,46880768,5,01/08/2018,2.4,0,4.5,3930,appStore
Shapes Toddler Preschool,24,"[""Education"",""Games"",""Word"",""Family""]",Education,4+,113434624,4,26/01/2009,6.0.1,0,3.5,21109,appStore
Shaw Academy,12,"[""Education"",""Photo & Video""]",Education,4+,104221696,4,24/07/2017,2.64,0,4.5,2155,appStore
Sign Smith ASL Essential,24,"[""Education"",""Reference""]",Education,4+,11219968,5,05/09/2008,1.1.1,0.99,3,77,appStore
Sign Smith ASL Ultimate,23,"[""Education"",""Reference""]",Education,4+,127179776,5,05/09/2008,1.1.1,4.99,3.5,33,appStore
SignSchool,10,"[""Education"",""Utilities""]",Education,4+,23739392,4,26/09/2016,1.8.1,0,3.5,155,appStore
Simply Piano by JoyTunes,24,"[""Education"",""Music""]",Education,4+,296260608,4,02/09/2015,6.3.5,0,4.5,73964,appStore
Sixth Grade Learning Games,26,"[""Education"",""Games"",""Family""]",Education,4+,69978112,5,29/10/2013,2,0,4,834,appStore
"Sketch.Book - Draw,Drawing Pad",30,"[""Education"",""Productivity""]",Education,4+,67571712,3,24/05/2015,2.4,0,4,18070,appStore
SketchAR: how to draw with AR,29,"[""Education"",""Entertainment""]",Education,4+,76722176,2,17/04/2017,4.0.6,0,3,241,appStore
Skillshare - Online Learning,28,"[""Education"",""Entertainment""]",Education,12+,64108544,3,02/12/2014,4.5.24,0,4.5,3120,appStore
Sky Live: Heavens Above Viewer,30,"[""Education"",""Reference""]",Education,4+,72706048,4,19/09/2013,1.2.4,0,4.5,2640,appStore
SkyTest® Middle East Prep App,30,,EDUCATION,4+,33000000,7,22/05/2015,3.1.6,79.99,3.5,1,google store
SkyView® - Explore the Universe,32,"[""Education"",""Entertainment""]",Education,4+,93429760,5,10/12/2010,3.5.1,1.99,4.5,6561,appStore
SkyView® Lite,14,"[""Education"",""Entertainment""]",Education,4+,115028992,3,04/03/2011,3.5.4,0,4.5,8898,appStore
Skyward Mobile Access,21,"[""Education""]",Education,4+,6438912,5,21/02/2012,1.32.0,0,2.5,2120,appStore
SL Video Chat,13,,EDUCATION,4+,16000000,5,07/09/2017,1.0.3,0,5,1,google store
Slader Math Homework Answers,28,"[""Education"",""Reference""]",Education,4+,122032128,4,28/11/2012,5.35,0,4,2653,appStore
Slice Fractions 2,17,"[""Education"",""Games"",""Family"",""Puzzle""]",Education,4+,398675968,5,09/01/2018,1.00.08,3.99,5,287,appStore
SmartQuest(SQ),14,,EDUCATION,4+,14000000,6,19/04/2017,v12.5.0-0efac12af,0,4.5,20,google store
SMCI Pre-PG,11,,EDUCATION,4+,19000000,7,21/08/2018,1,0,5,0,google store
Smithsonian Mobile,18,"[""Education"",""Entertainment""]",Education,12+,11804672,5,26/08/2011,4.4,0,3,58,appStore
"Smithton R-VI, MO",17,,EDUCATION,4+,10000000,7,22/08/2018,1.2.43,0,4,1,google store
SMSavia,7,,EDUCATION,4+,7100000,7,27/10/2014,1.1,0,3,642,google store
SnapCalc - Math Problem Solver,30,"[""Education"",""Productivity""]",Education,4+,140011520,3,04/12/2017,1.7,0,4.5,17657,appStore
SnapMath - Math Problem Solver,30,"[""Education"",""Photo & Video""]",Education,12+,75225088,3,17/01/2018,1.0.5,0,3.5,243,appStore
Soal UN SD 2018,15,,EDUCATION,4+,24000000,10,10/02/2017,1.0.10,0,4.5,3302,google store
